10ba2017121423130_4184996623265619|不抱太大的希望，尽最大的努力，该干什么就干什么。 ​​​​
68de2017121516520_4185263074868260|抖音——新奇好玩的15秒短视频社区！O网页链接 ​​​​
19c12017121423290_4185000733802816|#早睡打卡#day 1 ​​​​
8fe52017121511140_4185178030562848|//@买买小天使:这个必须重视起来！！//@酸梨raki:大家老是玩手机电脑的一定要多注意我感觉我现在颈椎就特别不好
1cea2017121604210_4185436472173638|巨蟹座最大的悲哀就在于长得一张机灵鬼的脸蛋，却生了一副大傻逼的心肠。这和大胸女的悲哀颇相似，人人都以为你是祸害人的骚货，实际上是被人人祸害的苦逼。我不会说什么“请珍惜身边的巨蟹”这样的话，因为巨蟹从来就没有被身边人珍惜过。。 ​​​​
320a2017121420420_4184958509120551|转发微博
b8972017121522250_4185346935842980|分享图片 2以色列·耶路撒冷 ​​​​
7dcf2017121420510_4184960904473990|欧珑香水，超棒的香水品牌
cbbf2017121512580_4185204174017193|我参与了@小说阅读榜 发起的投票【最佳人气女主角提名】，我投给了“裟椤双树《百妖谱1》桃夭”等2个选项，你也快来表态吧~R最佳人气女主角提名 ​​​​
6c4b2017121519240_4185301482518821|来//@人民日报:【背单词，记住这些时间段！】①5-10秒：看单词时，5分钟和5秒钟的遗忘效果几乎相同，每个单词看5-10秒，多次重复更重要；②5-10分钟：大段时间背单词效果并不好，用若干个5-10分钟来替代，能提高效率；③10-15天：10-15天是记忆衰减周期，尽量在记忆衰减前对已看的单词进行重复。转！
989a2017121423500_4185005913367690|#海味儿单词串讲群# 打卡DAY78~@冯涛-学为贵 ​​​​
825f2017121508180_4185133868696737|我参与了@杭州同城会 发起的投票 【明星机场街拍，你觉得谁最帅？】，我投给了“易烊千玺”这个选项。你也快来表态吧~
c5782017121516210_4185255323840409|#CURLYSUE | 带你玩转圣诞旅程#谁在乎谁主春秋
17ec2017121519270_4185302207802794|[兔子]
9d6b2017121508030_4185129909570923|你若懂我心事万分之一 ​​​​
863d2017121420580_4184962699463612|高产老爷
2b362017121603340_4185424718681094|从去年来有10个男人追求我，不知道他们出于什么原因，总之我没有主动过，为此我找了很多原因，曾经怀疑过自己是不是能量场有问题，也怀疑自己是不是让人感觉比较放荡……现在找到了原因，是因为自己比较优秀 2瑞丽·勐卯镇 ​​​​
714f2017121505050_4185085156698239|//@耳帝: //@魚太浪:猴姆回來了
50be2017121515460_4185246579241443|@金主小姐姐  
09fc2017121419230_4184938829754107|我在啊、一直在、一直爱
486e2017121600400_4185380876428631|@滚滚aro ……鹿纹好好看啊
969d2017121523140_4185359313147635|[心],[心],[心]
18c82017121520080_4185312324442529|#快乐小鲁班# 大多数小朋友都喜欢车玩具，小鲁班从孩子的兴趣出发，进行消防知识的教育。通过积木玩具，让孩子了解消防车的种类有哪些，并且简单的告知孩子不同的消防主要职能！O网页链接 ​​​​
b7ae2017121500570_4185022690865783|两天没看邮箱，错过了荷兰银行投行业务部的面试邀请，跳槽还没开始就结束了，足以扎心一个月 ​​​​
561f2017121508020_4185129788025072|近日笑点 ​​​​
de8b2017121523490_4185367961222791|//@我有些想念费老:Repost
87d82017121501270_4185030312005904|嗝 ​​​​
176a2017121518180_4185284670704887|👓 //@实用心理学:一组唯美女生背影小清新图片。//@西府先生: 我也钟意拍背影
7adb2017121505040_4185085035027158|转发微博
3c9e2017121419450_4184944337258279|懟她 ​​​​
aaba2017121523520_4185368779321960|最生气的时候随意玩一局就能吃鸡 ​​​​
00d62017121418520_4184930856532013|我 一个给自己制造尴尬又强行化解尴尬的人 ​​​​
47872017121523310_4185363503011435|最近有点入坑… ​​​​
3a922017121503580_4185068350207245|清新！已经塑造了杜娟...；有周迅的精灵！但更多了一份楚楚动人；【中国最美的20大美女排行】文章概要：所谓的伤痛它让你学会了更好的去把握和珍惜你爱的人，可爱[哭] ​​​​
9b692017121419000_4184932953316986|我在这里 2长沙·暮云镇 ​​​​
be8c2017121420290_4184955254436346|#圣诞老人边伯贤# #边伯贤#
e4e92017121420200_4184953065766533|哎呦喂
0a1f2017121419430_4184943758653714|转发微博
ba252017121508180_4185133885979476|朋友都要去看看
9cdd2017121522450_4185351960937805|分享图片 ​​​​
6ae72017121511270_4185181223024636|别的不说，先转一波
a7302017121423180_4184997944206781|转发微博
7fe92017121417450_4184913970234671|轉發微博
fb702017121522060_4185342036734661|@小丫小仙_女 @爱穿拖鞋的小子 @YAMI小z ​​​​
3cc42017121601140_4185389432406841|转发微博
baa82017121601000_4185385887674155|//@孤独的居士心: 转发微博
3e9f2017121600340_4185379307393428|//@来lol图咯拒绝: 转发微博
c97d2017121515220_4185240534223610|窦骁 生日快乐哈！
5c772017121519350_4185304216424948|转发微博
fb562017121421260_4184969678644502|#欧美# 首次挑战全裸戏！ “Queen S” 布蕾克·莱弗利主演惊悚片《我所看到的都是你》发布【中字】预告！！影片围绕盲女Gina和丈夫展开，讲述Gina随着视力慢慢恢复重获光明后背叛忠贞丈夫的故事！据说Queen S大荧幕的首次果戏就献给了这部电影，情色、血腥、暴力样样都不少！值得期待！ L欧美娱乐圈的秒拍视频
15142017121513110_4185207432766892|脸上佛系心里道系//@五行属二:仙系三连：啥？谁？我？//@不知名娱乐博主://@我是小糗君:佛系本人 //@恋爱日常事:两者合一//@我与老公的日常:脸上佛系心里mmp
d80c2017121417320_4184910875217724|王子本人🙊//@魔物小熊猫://@堂本-花花:如果没记错，BPM韩国＋millon but love倒数//@Minia-法拉利的鱼:想扑上去//@乙子_Otsuko赤心蓝火:哈！哈！哈！//@我就想叫一棵杉树不行吗: 笑起来眼白都没有了哦//@魬目:治愈一切不开心（签证被坑了就坑了吧⁄(⁄ ⁄ ⁄ω⁄ ⁄ ⁄
c1c72017121605070_4185448169545437|哈哈哈哈哈哈真的跟simond一模一样啊哈哈哈哈哈哈哈哈
9cbe2017121514310_4185227595230564|//@ouuwq:@一个芽崽  快快快！！
a8312017121600320_4185378820523709|[doge],[doge],[doge]
e7dd2017121518000_4185280132490149|Share ​​​​
6b8e2017121517220_4185270645002034|我我我！！！！！！！！！！！
5da72017121511240_4185180593845261|再转一次
424b2017121500310_4185016189457342|所以我们分开了
95272017121523290_4185363109409091|花臂妹每一天都要做精致的猪猪女孩  还有我这个这个狗狗男孩想找一个猫猫女孩[捂脸] 2峨眉山市 ​​​​
6a5c2017121505350_4185092731429258|我相信没有被放弃的愿望都在体内积攒成力量，未来会和今天不一样… ​​​​
1434300_ededcc4d156b75d6c3e8537273e38c3d|《饥饿游戏3：嘲笑鸟（下）》是由弗朗西斯·劳伦斯执导，娜塔莉·多默尔、詹妮弗·劳伦斯、伊丽莎白·班克斯联合主演的一部科幻电影。影片于2015年11月20日在美国上映，于2015年11月20日以2D/3D/中国巨幕格式在中国内地上映。该片改编自苏珊·柯林斯同名小说，故事将展开终极之战，卷入战争漩涡的女主角凯妮丝将带领反抗军前往都城，与斯诺总统展开决战，而凯妮丝必须抛弃恐惧与不信任，成为反抗者的“嘲笑鸟”。 扫码关注公众号     长按下面↓↓↓二维码     识别图中二维码~     关注公众号回复电影名称即可获取资源   
3d40300_c42e68f8419d83aa5b1c4b91d7865304|
f708300_e3e743104cd83c670e151ffbfcfc386a|点击阅读原文，团购永兴冰糖橙！ ↓
e553300_a127e4973154425bee47b7b7b2fb4b64|西方人对慈禧太后特别有兴趣， 有不少书籍和文章将慈禧描绘成 手段毒辣、生活靡费、权欲熏心的末代女王。 西方的报纸也对慈禧太后非常关注。 刚看了一本书《遗失在西方的中国史：法国彩色画报记录的中国1850—1937》，收录了一大波前所未见的慈禧彩色油画画像， 大家看看哪一张最像慈禧？ 西太后（中国的亡夫太后） 《小日报》（插图附加版） 1900年7月8日 清朝太后殿下 《笑报》（周六版幽默报刊） 1900年7月14日 法国香烟上的慈禧与溥仪 《笑报》（周六版幽默报刊） 1900年7月14日 清朝太后（斯蒂芬•里德绘） 《小巴黎人报》（插图文学附加版） 1900年12月23日 美国胡博·华士所绘慈禧像 《小巴黎人报》 （插图文学附加版） 1900年12月23日 中国的西奥多拉《画报》 1908年6月20日 清太后和皇帝驾崩 （慈禧太后和光绪帝的遗体在万寿宫） 《小日报》（插图附加版） 1908年11月29日 再让我们来看看 下列这组才是真正的慈禧太后生活照！ ▼ 慈禧拍下的第一张照片，她坐在轿子里准备上朝的样子。 过去一些书籍和文章往往只将慈禧太后描写成手段毒辣、生活靡费、不可一世的末世“女王”，这只是由于政治权威湮没了她的女人特质。其实，这位讲究品位、追求时尚的晚清皇太后，率先接触并享受到了19世纪末至20世纪初的现代物质文明，她享用电灯，乘坐奔驰车，最喜欢摄影和巴黎香水。 1903年，年轻美貌的德龄公主随担任外交使臣的父亲裕庚在法国居住四年以后回到北京，成为慈禧的第一女侍官。她为宫殿带来了许多新的气息，而那时的慈禧也变得开放起来，外部世界的变化，突然让她年高老迈的身体变得年轻起来。 慈禧太后的宫廷照 慈禧太后和后宫的嫔妃、以及太监、宫女合影。 慈禧曾对德龄说：“只要是新鲜的我都愿意试试，尤其是这种外边人不会知道的事情。” 1924年前后，中华民国清室善后委员会的工作人员在六宫东北角的景福宫，意外地发现了一批慈禧太后的照片。 慈禧太后的宫廷照 慈禧太后扮观音照，左起：四格格、慈禧、李莲英。 慈禧太后扮观音照。 左起：德龄、四格格（庆亲王奕劻的四女儿）、 慈禧、元大奶奶（慈禧内姪媳）、容龄。 慈禧在颐和园乐寿堂与外国公使夫人合影 慈禧在颐和园的赏雪照
c1b8300_f4a6524b6a1738d47150a25741b8d535|哇这么多好东西！ 可是没钱怎么办？ 优家网本着公正、公开、公平投票的原则 将在活动期间接受大众投票 并于12月23日公布最终获奖名单！ 什么！还没有帮你的朋友投票？活动截止日期马上就要到啦！ 投票平台截止时间是： 12月22日24:00！ 12月22日24:00！ 12月22日24:00！ 重要的事情说三遍！ 价值1000$大奖等你拿！ 本次活动所有投稿者均可获得由优家网所提供的HAC打折卡一张 你没有看错！只要参与就有奖品！ 100%得奖 如何进入投票系统？ 进入投票链接，一秒钟，so easy！ 最简单粗暴的葵花点穴法 点击这篇文章最下方，点击阅读原文。 就可进入投票系统！
6d152017121422300_4184985889919625|@Jun-opium
80bf2017121600110_4185373485589204|转发微博
fe842017121511360_4185183622557822|你不换电池哪来的声音，自然很安静！ ​​​​
ea522017121602150_4185404746044734|我觉得朱晓鹏不当歌手的都可惜了//@朱晓鹏:刚开始拍戏时候听了这首歌耳朵瞬间怀孕，后来又阴差阳错见到诺诺本人相谈甚欢，再后来意气风发的把唱片约签给她，再到前几天和赵韩樱子合唱的《眼睛》再到后面自己的歌要与大家见面……只能说对的时间遇见对的人，缘，妙不可言！#青春进行时# #极光之恋#
ff7b2017121423220_4184998829133170|莫名觉得女装大佬刘星还挺好看//@腐女大本营://@腐女圈社长:天呐 哈哈哈哈哈哈哈哈哈哈哈哈，刘梅你还管不管
ba742017121605100_4185448799210962|#拜托了恐龙#一定会得到更加多的支持量的，加油，刚看标题，下次也要学习店员在遇到事情这么淡定了，好东西。
d5512017121508120_4185132371564740|每天七点就醒一次，气到哭起来 ​​​​
bd0a2017121605010_4185446650835560|一个人的修为、来自一颗和善的心！来自一颗善待他人的心；一个人的宽容……来自一颗尊重他人的心，一个人的涵养 ​​​​
844b2017121522260_4185347090783396|@侯蛋妮儿 @陈菲6868
ffa02017121417380_4184912313595650|江苏科佳软件开发的畜禽屠宰行业监管系统平台顺利通过项目验收O网页链接 ​​​​
87f82017121420130_4184951324612881|轩宝112天:昨天晚上下雪了。不过早早就睡了，不过我在朋友圈看雪儿。今天起床，看到房子上的雪，不知怎么的，雪总是能让人开心，心情瞬间飞扬起来。 由于天气太冷，只能陪着孩子在屋里呆了一天。轩宝倒是很乖，一会儿一觉一会儿一觉的。下午实在待不住了，让我婆抱着孩子去邻居家串门了。 ​​​​
3d6e2017121522490_4185353008986814|爸妈结婚20年，一切都会越来越好的，一定会的 ​​​​
b6e72017121516520_4185263238220041|[允悲],[允悲],[允悲]
51682017121422550_4184991967960474|没时间去也要转～
50c92017121421190_4184967845578001|只有尝试了无数种可能 再怎么尽力还是不行 才有资格说自己不行 自己做的不够好  不要在事情没有发生之前就否定自己 想法不能只存活在脑子里 你要有所行为去证明你的想法 同理 梦想也是 要做一切自己想要做的事 什么才都会变得不再重要 加油 ​​​​
0a2c2017121603410_4185426522791884|铭记历史和大佬??
a44e2017121521350_4185334307131912|转发微博
2ca32017121511080_4185176449609930|王源哥哥苹果头帅的
46ca2017121600150_4185374525435731|全世界最喜欢你们//@洗呀洗呀洗菜菜:
9e612017121417540_4184916423602784|转发微博
77b62017121500320_4185016399167594|突然想成为带着满满正能量，能给人带来开心的人。 ​​​​
4a592017121511230_4185180404491967|好看
61ea2017121511150_4185178245613717|马@前面的咸鱼等等后面的辣鸡
72b42017121503580_4185068271011449|永远对小日本没有好感
ecf82017121422450_4184989547216445|晚安 2重庆·鹅岭印制二厂文创公园 ​​​​
9f032017121519000_4185295454744736|婚前婚后的不同！ ​​​​
f36f2017121423400_4185003455977779|小希小希@WIS护肤  我收到啦~ 高大上的礼盒——极润保湿套装 一打开箱子看到心心念念的超声波喷雾瞬间泪流满面啊，我、我、我，终于抢到啦~ 下单的时候还一直担心抢不到的。 还有就是每次下单，必下图中的抗痘凝胶，炒鸡好用 每次收到小希家的宝贝，都要带着@WIS护肤  小希家的宝贝上微博——旅行
3f6c2017121421120_4184966105707169|转发微博
94452017121508500_4185141906097661|共勉
d3782017121511270_4185181219246623|@杨柳青是吃可爱长大的啊_
58c92017121600040_4185371816635336|//@啊啊啊阿情-:八十年前金陵惨，二十五万冤魂哭。 草雉樱花皆染血，万里长城骨铸成。 今朝惟盼狮睁眼，更愿东方升巨龙。 英雄应自吾辈出，助力中国梦不空️
b642300_5c7a1a8e7497d872a56ef160ced85c53|1.蛇头鱼。蛇头鱼入侵美国，成为了很多美国人的阴影，美国人还为此专门拍摄了一部影片，名字就叫《科学怪鱼》。但是这玩意在中国不叫蛇头鱼，而叫黑鱼，吃过酸菜鱼的都知道，那真是一个美味！ 2.亚洲鲤鱼。鲤鱼在我国一直是一种美味，现在一般乡间很大的野生鲤鱼都很难见得到了，因为吃货们不会放过，但是亚洲鲤鱼到了美国就成了泛滥物种，因为美国人排斥这东西，他们觉得这东西肉不美而且鱼刺十分多，因此泛滥。 3.非洲牛箱头蛙。非洲牛蛙入侵美国，给美国造成了很大的烦恼，非洲牛蛙比一般牛蛙强悍，大的可以长到两公斤以上，这东西食肉，入侵美国造成了很多昆虫急剧减少，严重影响当地生物链，因此一度困扰美国。而中国吃货表示不服，看看我们的红烧蛙腿你就知道我们的厉害了。 4.小龙虾。小龙虾不知在何时入侵到我国，本来横行各国无天敌的小龙虾，竟然在短短入侵的几天内走向了中国人的餐桌，从此一发不可收拾，小龙虾的美味从此成为绝响。 5福寿螺。1981年引入中国，当时因为其肉质鲜美走上了餐桌，如今出现了各种寄生虫问题而很少有人食用了，但是成为了很多珍贵水产动物的饲料，也算是保留了一点入侵物种的尊严。 6.罗非鱼。原产非洲，被誉为未来动物性蛋白质的主要来源。听到这你就会明白了，此鱼必火。蛋白质可是好东西，蛆因为富含蛋白质，你懂的。所以罗非鱼也没能保留入侵者的尊严，灰溜溜地走上了中国餐桌。 7.中华绒螯蟹。中华绒螯蟹当初入侵到德国，直接造成了德国近8000万欧元的损失，德国人觉得这东西食腐太恶心，难以下咽。可是这东西在中国的境遇却十分惨，各种大闸蟹简直不要太美味。 8.贻贝。前段时间丹麦召集中国吃货解决贻贝泛滥问题，美国对这东西也十分头疼，可是他们没想到，这东西到了中国就成了美味，在中国，你听过一种叫淡菜的东西么，这是贻贝的干制品，没错，贻贝不仅有了各种吃法，而且还被制干保存，以备使用。 9.鲶鱼。看过很多视频，美国人河道的鲶鱼都是巨大无比的，没错，继亚洲鲤鱼泛滥美国之后，鲶鱼也后来居上，美国人好像对这种食腐的东西都不感兴趣，以至于这里的鲶鱼都巨大无比，影响了当地生物链，当地政府鼓励人们进行鲶鱼的捕捞。
30fc300_fb0115011660f393c4dc603a71380188|
7f23300_c2d54dd06b803af8c664e5624f45cc50|.
c34f300_473c8faeb4ae66e4d14d60e28c4f05e6|Read: Colossians 1:12–17 | Bible in a Year: Amos 4–6; Revelation 7 For by [Jesus] all things were created. Colossians 1:16 nasb As we drove through northern Michigan, Marlene exclaimed, “It’s unbelievable how big the world is!” She made her comment as we passed a sign marking the 45th parallel—the point halfway between the equator and the North Pole. We talked about how small we are and how vast our world is. Yet, compared to the size of the universe, our tiny planet is only a speck of dust. If our world is great, and the universe is vastly greater, how big is the One who powerfully created it? The Bible tells us, “For by [Jesus] all things were created, both in the heavens and on earth, visible and invisible, whether thrones or dominions or rulers or authorities—all things have been created through Him and for Him” (Col. 1:16 nasb). In our times of struggle, He powerfully offers us His peace. This is good news because this same Jesus who created the universe is the One who has come to rescue us from our sin for every day and forever. The night before He died, Jesus said, “These things I have spoken to you, so that in Me you may have peace. In the world you have tribulation, but take courage; I have overcome the world” (John 16:33 nasb). When facing the large and small challenges of life, we call on the One who made the universe, died and rose again, and won victory over this world’s brokenness. In our times of struggle, He powerfully offers us His peace. Lord, I’m grateful that You are greater than my mind could ever comprehend. Help me to trust You today. God’s grace is immeasurable, His mercy inexhaustible, His peace inexpressible. INSIGHT In Colossians Paul combats false teaching that seems to have included both Jewish asceticism (severe self-discipline) and the idea that the material world is bad and we are saved by avoiding it (see 2:16–23)—ideas similar to what would later be known as Gnosticism. Paul argued that the teachers of such “idle notions” (2:18), despite appearing wise (v. 23), were missing the point entirely. By focusing on their own ideas and rules (vv. 18, 22), they were missing Christ—the One through whom everything holds together (v. 19). Colossians 1:15–17, often believed to be a Christian hymn, beautifully reinforces the truth that the gospel includes hope for the material world, God’s good creation. Because Jesus is the One who holds creation together (vv. 17–18), He restores not only harmony between people and God but between the creation and God (v. 20). Believers, as those living in His kingdom (vv. 12–14), can experience a taste of this renewed creation, even as we long for the final restoration. How might Colossians 1:12–17 give us hope that God cares about and is involved with the particular areas of brokenness in our lives and world? --copyright：Our Daily Bread-- JESUS LOVE 这世间有个千古不变的道理就耶稣爱您！ 欢迎弟兄姊妹关注订阅《灵命日粮》微信公众，我们会每日发送主内优质信息到您的微信，帮助您灵命成长、广传福音、荣神益人！ 您已看了:，转发只需1秒呦！您的每一次转发分享到《朋友圈》都在影响更多人有机会认识上帝！让我们同心合意用行动兴旺福音吧！
812d300_3d8857a24f35b896241bce97b7816027|一个人事业上再大的成功也弥补不了教育子女失败的缺憾！——李嘉诚 我们总在说忙忙忙，但是孩子的教育根本不可能等着我们来弥补，只要稍微有点忽略，孩子的成长变化会很明显。有些毛病一旦养成，会花费很多精力来改正，甚至根本无法纠正。 所以不管挣了多少钱，事业发展有多顺利，如果孩子的教育不得当，将来老了会后悔。虽然不需要我们一门心思扑在孩子身上，但是也绝对不能拿事业繁忙来牺牲孩子。生下他就得负责任啊！ 黄晶生说：“幸福的本质其实就是一种感觉，一种什么感觉呢？幸福是一种追求快乐而又有意义的感觉！” 孩子在年幼时具有极强的可塑性。他们就象河水的源泉,活泼而无拘无束,一旦被导向某一方向,就能转变它的流向。在社会的大环境中,为什么有的人有用,有的人有所作为,在这里起决定作用的是教育。 人与人之所以不一样，主要是因为在后天受到的教育方式不同。在幼年的意识中留下的印象,哪怕是微不足道的,都会在未来漫长的一生中发挥重要的影响。 每一个人都不是他自己要出生的,父母使他们偶然来到这个世界,来到一个他们自己无法选择的家庭,有了一对永远不能变换的父母。 一个孩子将来能成为什么样的人，这在很大程度上取决于孩子的父母是何种层次的人，取决于孩子在早期成长过程中受到何种层次的家庭教育。 孩子是父母的影子，孩子是父母的翻版。为了培养孩子的品德,做父母亲的行为要自慎,应该处处做孩子的表率。孩子好的行为，坏的行为都是父母教育影响的结果。 如果母亲爱打扮,其女儿也必然是爱打扮的。若母亲是多舌的,女儿也不例外。同样父亲好喝酒,儿子也会喝酒;父亲说脏话、粗话,则孩子也是如此。这已成为家庭教育的定律。 正如有人所说，孩子的心是块奇怪的土地，播上思想的种子就会获得行为的收获；播上行为的种子就会获得习惯的收获；播上习惯的种子，就会获得品德的收获；播上品德的种子，就会获得命运的收获！ 可以说,孩子一生的命运在父母手中，父母若严格要求自己，作孩子的表率，努力培养孩子的品德，为开拓他们的美好前程积极创造条件，同时也就使自己成为一个伟大的人。 我们说家庭是一所学校,但家庭教育有着自身独特的方式,它通过家庭环境氛围及父母的言论。行为对孩子产生潜移默化的影响,在无形中塑造着孩子的人格品德与基本素质。 家庭教育不仅是基础教育,而且是主导的教育,给孩子深入骨髓的影响,是任何学校及社会教育所永远代替不了的。 在英国有一个爱德华家庭,是真正的书香门第。老爱德华是个博学多才的哲学家,为人严谨勤勉。 他的子孙有13位当大学校长，100位教授，80多位文学家，60多位医生，1人当过大使，20多人当过议员，同样在英国,另一个珠克家族,与之相比则大相径庭.老珠克是远近闻名的酒鬼和赌徒,浑浑噩噩,无所事事。 这个家族至今已传下八代，其子孙后代中.有300多人当过乞丐和流浪汉，400多人酗酒致残或死亡，60多人犯过诈骗或盗窃罪，7个杀人犯，整个家族没有一个人有出息。 根据上述两种情况让我们来一起设想，珠克家族中的某个人，当他孩子婴儿时，就被爱德华家族抱养,那这个人又将变成什么样的人呢？ 反之又会怎样?家族最初灌输的是非观念，善恶标准，为人原则，将影响他的一生。这就是两个英国家族留给后人的启示。 任何事业的成功都无法弥补孩子教育的失败！ 言教不如身教，身教不如境教！给孩子最好的礼物是榜样！ 给孩子食物只会让孩子成为大人，给孩子观念会让孩子成为伟人！ 人在年轻的时候，千万不要借口工作忙而忽略对孩子的教育，在年老的时候，一切荣华富贵都是过眼烟云，而一个不成器的孩子，足以让你晚景惨淡，但是一个成功孝顺的孩子足可以让你生活无忧。
01a62017121521240_4185331655271703|看着好心动啊~ 欧珑香水大赞~
ceb82017121600430_4185381748711941|转发微博
34d22017121523460_4185367404450767|九月，巜芳华》首映，第一时间购票，被退票。今天，又第一时间到影院观赏。两度泪眼模糊！记得第一次“模糊”时还是巜妈妈再爱我一次》。 ​​​​
9e942017121515300_4185242548280507|最美内蒙古女生（130）@CarmineroseG 2呼和浩特 ​​​​
c4b32017121515240_4185240925222630|最美内蒙古女生（125）@陶古斯 2呼和浩特 ​​​​
3af32017121522440_4185351678917036|#林俊杰##梦想的声音2##音乐教科书林俊杰# 真的是神一样的改编，听得热血沸腾！只是KTV谁还敢尝试《夢想的聲音2》純享：林俊傑《鳳凰于飛》L《梦想的声音2》纯享：林俊杰《凤凰于飞》 ​​​​
8bd52017121423280_4185000465370062|//@洛之秋: O网页链接  6分钟处开始大家自己听，男子讲了不忍引产所以逃跑和回乡发现房子被毁。//@洛之秋: 今天听了BBC Radio 3这个纪录片的音频，发现国内的报道漏了两个细节：1）当时不是舍不得交罚款所以遗弃，是计生办要抓去强制引产；2）他们逃走之后政府拔掉了他们家的房子。
75e02017121514590_4185234565860366|傻逼 ​​​​
b3422017121516200_4185255101754959|转发微博
85b32017121521480_4185337674485932|#李易峰# 不管发生什么，我们都要把最值得纪念意义的今天过的圆满，高高兴兴地把今天剩下的时间过完，不要让那些乱七八糟造谣生事的人得逞，也不要让外人看我们家的笑话，我们继续庆祝@李易峰 出道十周年快乐吧#十年峰景易路同行##李易峰开司动物世界##李易峰在纽约徐天# ​​​​
e1322017121513060_4185206220772014|时间真的是在转圈圈，一转眼你已出道十年，这十年走来我们看到了你的艰辛与坚持，谢谢你，一直那么努力，带给我们太多的喜悦、幸福、感动、眼泪…错过了你的儿童时光那么你的光辉岁月定不辜负，下个十年，我们还要在一起，然后见证属于你的时代#十年峰景易路同行# #李易峰# @李易峰
bd422017121421230_4184968920475531|至始至终你都是我们唯一的美好，愿未来一切安好，十周年快乐@李易峰 #李易峰# #李易峰开司动物世界# #李易峰在纽约徐天#
f11a2017121418230_4184923679847498|转发微博
3cc62017121508420_4185139929415813|转！//@折翼丛林:两爬有意思！//@网纹之吻:#山水澜沧江# 年末再送一波。转发并关注本人 + @amphibiachina + @山水自然保护中心 即可参与抽奖。美国时间下周一12月18日抽取15位粉丝赠送限量纪念版《澜沧江上游两栖爬行动物》 横断山区特有两爬精美彩照+自然生活史科普。第一次没抽到的筒子们转发加油啦~
c34e2017091020210_4150526533093128|94//@隐隐约约一样一样:节日快乐呀//@卷花大军-易人队:#春秋四载破风浪,易烊千玺展锋芒# #一心一意，易烊千玺#  9.10 易人 6500 @GuardRosarium-玺  世界再大，我眼里只有你@TFBOYS-易烊千玺
e63b2017091020210_4150526507117223|。//@吉祥2号--:～//@易张氏-://@卷花大军-易人队:#春秋四载破风浪,易烊千玺展锋芒# #一心一意，易烊千玺#  9.10 易人 6500 @GuardRosarium-玺  世界再大，我眼里只有你@TFBOYS-易烊千玺
1b0f2017091020210_4150526478336776|91//@隐隐约约一样一样:节日快乐呀//@卷花大军-易人队:#春秋四载破风浪,易烊千玺展锋芒# #一心一意，易烊千玺#  9.10 易人 6500 @GuardRosarium-玺  世界再大，我眼里只有你@TFBOYS-易烊千玺
304d2017091020210_4150526457334814|90//@隐隐约约一样一样:节日快乐呀//@卷花大军-易人队:#春秋四载破风浪,易烊千玺展锋芒# #一心一意，易烊千玺#  9.10 易人 6500 @GuardRosarium-玺  世界再大，我眼里只有你@TFBOYS-易烊千玺
c2cc2017091020210_4150526445212218|//@聪子物宠://@聪子物宠:#易烊千玺出演五月天mv#  #春秋四载破风浪,易烊千玺展锋芒#    9.10    长街十里 走马一程 愿都是与你.@TFBOYS-易烊千玺
7cbf2017091020210_4150526432125548|//@精彩1128:加油！我爱的少年 //@卷花大军-易人队:#春秋四载破风浪,易烊千玺展锋芒# #一心一意，易烊千玺#  9.10 易人 6500 @GuardRosarium-玺  世界再大，我眼里只有你@TFBOYS-易烊千玺
4edc2017091020210_4150526419020784|//@聪子物宠://@聪子物宠:#易烊千玺出演五月天mv#  #春秋四载破风浪,易烊千玺展锋芒#    9.10    长街十里 走马一程 愿都是与你.@TFBOYS-易烊千玺
f7642017091020210_4150526402718235|47//@奔跑的可乐yi:教师节哦//@卷花大军-易人队:#春秋四载破风浪,易烊千玺展锋芒# #一心一意，易烊千玺#  9.10 易人 6500 @GuardRosarium-玺  世界再大，我眼里只有你@TFBOYS-易烊千玺
d5452017121600090_4185373121157358|很想很想忘了你，就像从未遇见过那样！ ​​​​
ac302017121601000_4185385901051489|饿了(´□`｡) LWini-Xu的秒拍视频 ​​​​
1dac2017121520010_4185310755371821|一段时间内，每天都能梦见同一个人，是一种什么样的体验，上帝你是在开玩笑吗？ 2杭州·老余杭 ​​​​
474b2017121522470_4185352375516745|转发微博
47cd2017121522060_4185342242924398|转发微博
81b22017121607520_4185489512109220|寒冷黄色预警又怎样？还不是要上班 2佛山·三水西南 ​​​​
6a162017121420150_4184951907910689|想要毛爷爷
3b592017121518060_4185281634990346|转发微博
39bb2017121515510_4185247681368086|提前是佛系//@全球热门搜罗:
c3512017121501030_4185024243191296|//@别向我的伤口撒盐:转发微博
df872017121419300_4184940490605875|小朋友前往悉尼考察，和哥哥说麦考利夫人的故事，哥哥非常地不以为然。 ​​​​
58bb2017121508510_4185142043457684|抽
7e312017121507540_4185127674415452|快 要 咳 死 人 了。 ​​​​
67b12017121523510_4185368579003978|转发微博
25b52017121500310_4185016122868613|​​​​
5cd72017121420420_4184958664343018|转发微博
51f82017121519140_4185298944682307|@_突袭你的心 @_圣城的小孩 @_戴琼叶
0af62017121512130_4185192932989853|//@老沉:转发微博
4a1f2017121519410_4185305626178833|转发微博
d5b72017121502130_4185041891864875|说着我不肝不肝，其实我肝爆 ​​​​
78b72017121508010_4185129561737868|关关雎鸠，在河之洲。窈窕淑女，君子好逑。 《诗经-周南-关雎》 ​​​​
726c2017121515430_4185245647642899|
